,TIC ID,TFOPWG Disposition
1157,33878688,
1158,50312495,
1159,389924075,
1160,399144800,
1161,451606970,
1162,453260209,
1163,141527965,
1164,248092710,
1165,294781547,
1166,294981566,
1167,319259194,
1168,349095149,
1169,374997123,
1170,382437043,
1171,299798795,
1172,150428703,
1173,177115354,
1174,360156606,
1175,300038935,
1176,140760434,
1177,287156968,
1178,447061717,
1179,364395234,
1180,260647166,
1181,260647166,
1182,260647166,
1183,260647166,
